frame= 1778 fps= 30 q=-1.0 size=    1715kB time=00:00:59.30 bitrate= 236.9kbits/s speed=   1x    
frame= 1793 fps= 30 q=-1.0 size=    1725kB time=00:00:59.81 bitrate= 236.3kbits/s speed=   1x    
frame= 1809 fps= 30 q=-1.0 size=    1736kB time=00:01:00.32 bitrate= 235.8kbits/s speed=   1x    
frame= 1824 fps= 30 q=-1.0 size=    1746kB time=00:01:00.83 bitrate= 235.1kbits/s speed=   1x    
frame= 1839 fps= 30 q=-1.0 size=    1782kB time=00:01:01.32 bitrate= 238.0kbits/s speed=   1x    
frame= 1854 fps= 30 q=-1.0 size=    1793kB time=00:01:01.83 bitrate= 237.5kbits/s speed=   1x    
frame= 1869 fps= 30 q=-1.0 size=    1805kB time=00:01:02.34 bitrate= 237.1kbits/s speed=   1x    
frame= 1885 fps= 30 q=-1.0 size=    1833kB time=00:01:02.86 bitrate= 238.9kbits/s speed=   1x    
frame= 1900 fps= 30 q=-1.0 size=    1845kB time=00:01:03.36 bitrate= 238.5kbits/s speed=   1x    
frame= 1915 fps= 30 q=-1.0 size=    1857kB time=00:01:03.87 bitrate= 238.1kbits/s speed=   1x    
frame= 1930 fps= 30 q=-1.0 size=    1867kB time=00:01:04.36 bitrate= 237.6kbits/s speed=   1x    
frame= 1945 fps= 30 q=-1.0 size=    1878kB time=00:01:04.87 bitrate= 237.2kbits/s speed=   1x    
frame= 1961 fps= 30 q=-1.0 size=    1890kB time=00:01:05.40 bitrate= 236.7kbits/s speed=   1x    
frame= 1976 fps= 30 q=-1.0 size=    1901kB time=00:01:05.90 bitrate= 236.3kbits/s speed=   1x    
frame= 1991 fps= 30 q=-1.0 size=    1912kB time=00:01:06.40 bitrate= 235.8kbits/s speed=   1x    
frame= 2006 fps= 30 q=-1.0 size=    1954kB time=00:01:06.92 bitrate= 239.2kbits/s speed=   1x    
frame= 2022 fps= 30 q=-1.0 size=    1965kB time=00:01:07.43 bitrate= 238.7kbits/s speed=   1x    
frame= 2036 fps= 30 q=-1.0 size=    1976kB time=00:01:07.91 bitrate= 238.3kbits/s speed=   1x    
frame= 2051 fps= 30 q=-1.0 size=    2007kB time=00:01:08.40 bitrate= 240.3kbits/s speed=   1x    
frame= 2067 fps= 30 q=-1.0 size=    2019kB time=00:01:08.94 bitrate= 239.9kbits/s speed=   1x    
frame= 2082 fps= 30 q=-1.0 size=    2029kB time=00:01:09.45 bitrate= 239.4kbits/s speed=   1x    
frame= 2097 fps= 30 q=-1.0 size=    2075kB time=00:01:09.93 bitrate= 243.0kbits/s speed=   1x    
frame= 2113 fps= 30 q=-1.0 size=    2087kB time=00:01:10.47 bitrate= 242.7kbits/s speed=   1x    
frame= 2127 fps= 30 q=-1.0 size=    2099kB time=00:01:10.96 bitrate= 242.3kbits/s speed=   1x    
frame= 2142 fps= 30 q=-1.0 size=    2110kB time=00:01:11.44 bitrate= 241.9kbits/s speed=   1x    
frame= 2158 fps= 30 q=-1.0 size=    2121kB time=00:01:11.97 bitrate= 241.4kbits/s speed=   1x    
frame= 2173 fps= 30 q=-1.0 size=    2133kB time=00:01:12.47 bitrate= 241.1kbits/s speed=   1x    
frame= 2188 fps= 30 q=-1.0 size=    2144kB time=00:01:12.98 bitrate= 240.6kbits/s speed=   1x    
frame= 2203 fps= 30 q=-1.0 size=    2154kB time=00:01:13.47 bitrate= 240.2kbits/s speed=   1x    
frame= 2218 fps= 30 q=-1.0 size=    2165kB time=00:01:13.97 bitrate= 239.8kbits/s speed=   1x    
frame= 2233 fps= 30 q=-1.0 size=    2176kB time=00:01:14.47 bitrate= 239.4kbits/s speed=   1x    
frame= 2248 fps= 30 q=-1.0 size=    2186kB time=00:01:14.97 bitrate= 238.9kbits/s speed=   1x    
frame= 2263 fps= 30 q=-1.0 size=    2198kB time=00:01:15.47 bitrate= 238.5kbits/s speed=   1x    
frame= 2278 fps= 30 q=-1.0 size=    2208kB time=00:01:15.97 bitrate= 238.0kbits/s speed=   1x    
frame= 2293 fps= 30 q=-1.0 size=    2254kB time=00:01:16.48 bitrate= 241.4kbits/s speed=   1x    
frame= 2308 fps= 30 q=-1.0 size=    2265kB time=00:01:16.99 bitrate= 240.9kbits/s speed=   1x    
frame= 2323 fps= 30 q=-1.0 size=    2275kB time=00:01:17.48 bitrate= 240.6kbits/s speed=   1x    
frame= 2338 fps= 30 q=-1.0 size=    2286kB time=00:01:17.99 bitrate= 240.1kbits/s speed=   1x    
frame= 2353 fps= 30 q=-1.0 size=    2296kB time=00:01:18.48 bitrate= 239.7kbits/s speed=   1x    
frame= 2369 fps= 30 q=-1.0 size=    2308kB time=00:01:19.01 bitrate= 239.3kbits/s speed=   1x    
frame= 2383 fps= 30 q=-1.0 size=    2320kB time=00:01:19.48 bitrate= 239.2kbits/s speed=   1x    
frame= 2398 fps= 30 q=-1.0 size=    2334kB time=00:01:19.99 bitrate= 239.0kbits/s speed=   1x    
